Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;MAE;MFE;ETD;Barras;
1;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25274,00;25303,75;01/12/2025 8:31:48;01/12/2025 9:08:32;Entry;Stop1;58,28 $;58,28 $;1,22 $;23,50 $;80,00 $;21,72 $;0;
2;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25313,00;25299,50;01/12/2025 12:16:29;01/12/2025 12:18:42;Entry;Exit;-28,22 $;30,06 $;1,22 $;63,00 $;1,00 $;29,22 $;0;
3;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25302,25;25306,75;01/12/2025 12:18:01;01/12/2025 12:24:08;Entry;Exit;7,78 $;37,84 $;1,22 $;41,50 $;11,00 $;3,22 $;0;
4;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25300,25;25281,75;01/12/2025 12:18:39;01/12/2025 12:43:20;Entry;Stop1;-38,22 $;-0,38 $;1,22 $;37,00 $;13,50 $;51,72 $;0;
5;MNQ 12-25;PAAPEX4193400000001;;Short;1;25296,25;25276,25;01/12/2025 12:34:24;01/12/2025 13:10:14;;;38,96 $;38,58 $;1,04 $;40,00 $;40,50 $;1,54 $;0;
6;MNQ 12-25;PAAPEX4193400000001;;Short;1;25296,25;25276,00;01/12/2025 12:34:24;01/12/2025 13:10:22;;;39,46 $;78,04 $;1,04 $;40,00 $;40,50 $;1,04 $;0;
7;MNQ 12-25;PAAPEX4193400000001;;Short;1;25275,00;25276,00;01/12/2025 13:10:09;01/12/2025 13:10:22;;;-3,04 $;75,00 $;1,04 $;2,00 $;2,00 $;5,04 $;0;
8;MNQ 12-25;PAAPEX4193400000001;;Long;2;25310,00;25279,25;01/12/2025 15:37:53;01/12/2025 15:39:13;;;-125,08 $;-50,08 $;2,08 $;123,00 $;123,00 $;248,08 $;0;
9;MNQ 12-25;PAAPEX4193400000001;;Long;1;25287,75;25244,25;01/12/2025 15:39:30;01/12/2025 15:41:09;;;-88,04 $;-138,12 $;1,04 $;87,00 $;87,00 $;175,04 $;0;
10;MNQ 12-25;PAAPEX4193400000001;;Long;1;25283,50;25244,25;01/12/2025 15:40:08;01/12/2025 15:41:09;;;-79,54 $;-217,66 $;1,04 $;78,50 $;78,50 $;158,04 $;0;
11;MNQ 12-25;PAAPEX4193400000001;;Long;1;25263,00;25244,25;01/12/2025 15:41:03;01/12/2025 15:41:09;;;-38,54 $;-256,20 $;1,04 $;37,50 $;37,50 $;76,04 $;0;
12;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25325,75;25309,50;01/12/2025 16:25:59;01/12/2025 16:31:04;Entry;Stop1;-33,72 $;-289,92 $;1,22 $;42,00 $;40,00 $;73,72 $;0;
13;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25315,75;25309,50;01/12/2025 16:30:17;01/12/2025 16:31:04;Entry;Stop1;-13,72 $;-303,64 $;1,22 $;22,00 $;22,00 $;35,72 $;0;
14;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25315,25;25309,50;01/12/2025 16:30:59;01/12/2025 16:31:04;Entry;Stop1;-12,72 $;-316,36 $;1,22 $;15,00 $;1,50 $;14,22 $;0;
15;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25314,75;25269,25;01/12/2025 16:33:30;01/12/2025 16:35:17;Entry;Target1;89,78 $;-226,58 $;1,22 $;12,50 $;91,50 $;1,72 $;0;
16;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25314,50;25269,25;01/12/2025 16:33:30;01/12/2025 16:35:17;Entry;Target1;89,28 $;-137,30 $;1,22 $;13,00 $;91,00 $;1,72 $;0;
17;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25315,00;25332,25;01/12/2025 16:36:28;01/12/2025 16:39:07;Entry;Stop1;-35,72 $;-173,02 $;1,22 $;36,50 $;24,50 $;60,22 $;0;
18;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25330,75;25332,25;01/12/2025 16:36:38;01/12/2025 16:39:07;Entry;Stop1;-4,22 $;-177,24 $;1,22 $;5,00 $;56,00 $;60,22 $;0;
19;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25323,75;25332,25;01/12/2025 16:38:53;01/12/2025 16:39:07;Entry;Stop1;-18,22 $;-195,46 $;1,22 $;18,00 $;2,00 $;20,22 $;0;
20;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25326,75;25332,25;01/12/2025 16:39:00;01/12/2025 16:39:07;Entry;Stop1;-12,22 $;-207,68 $;1,22 $;12,00 $;8,00 $;20,22 $;0;
21;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25334,75;25359,75;01/12/2025 16:39:15;01/12/2025 16:40:21;Entry;Stop1;-51,22 $;-258,90 $;1,22 $;50,00 $;5,50 $;56,72 $;0;
22;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25336,75;25336,00;01/12/2025 16:41:16;01/12/2025 16:43:04;Entry;Exit;0,28 $;-258,62 $;1,22 $;23,00 $;41,00 $;40,72 $;0;
23;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25328,50;25336,25;01/12/2025 16:41:27;01/12/2025 16:43:05;Entry;Exit;-16,72 $;-275,34 $;1,22 $;39,50 $;24,50 $;41,22 $;0;
24;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25337,00;25334,25;01/12/2025 16:41:44;01/12/2025 16:43:07;Entry;Exit;4,28 $;-271,06 $;1,22 $;22,50 $;41,50 $;37,22 $;0;
25;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25335,25;25332,50;01/12/2025 16:41:46;01/12/2025 16:43:08;Entry;Exit;4,28 $;-266,78 $;1,22 $;20,50 $;22,00 $;17,72 $;0;
26;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25336,75;25346,00;01/12/2025 16:41:49;01/12/2025 16:49:37;Entry;Stop1;-19,72 $;-286,50 $;1,22 $;18,50 $;25,00 $;44,72 $;0;
27;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25338,50;25346,00;01/12/2025 16:43:01;01/12/2025 16:49:37;Entry;Stop1;-16,22 $;-302,72 $;1,22 $;15,00 $;8,00 $;24,22 $;0;
28;MNQ 12-25;PAAPEX4193400000001;;Long;1;25358,50;25344,25;01/12/2025 17:08:40;01/12/2025 17:12:03;;;-29,54 $;-332,26 $;1,04 $;28,50 $;28,50 $;58,04 $;0;
29;MNQ 12-25;PAAPEX4193400000001;;Long;1;25368,50;25344,25;01/12/2025 17:10:54;01/12/2025 17:12:03;;;-49,54 $;-381,80 $;1,04 $;48,50 $;48,50 $;98,04 $;0;
30;MNQ 12-25;PAAPEX4193400000001;;Long;1;25352,75;25344,25;01/12/2025 17:11:25;01/12/2025 17:12:03;;;-18,04 $;-399,84 $;1,04 $;17,00 $;17,00 $;35,04 $;0;
31;MNQ 12-25;PAAPEX4193400000001;;Long;1;25446,25;25460,00;01/12/2025 18:02:07;01/12/2025 18:06:30;;;26,46 $;-373,38 $;1,04 $;27,50 $;27,50 $;1,04 $;0;
32;MNQ 12-25;PAAPEX4193400000001;;Long;1;25438,25;25456,75;01/12/2025 18:02:21;01/12/2025 18:08:02;;;35,96 $;-337,42 $;1,04 $;37,00 $;37,00 $;1,04 $;0;
33;MNQ 12-25;PAAPEX4193400000001;;Long;1;25435,50;25445,00;01/12/2025 18:02:32;01/12/2025 18:14:29;;;17,96 $;-319,46 $;1,04 $;19,00 $;19,00 $;1,04 $;0;
34;MNQ 12-25;PAAPEX4193400000001;;Long;1;25439,75;25449,25;01/12/2025 18:20:01;01/12/2025 18:26:56;;;17,96 $;-301,50 $;1,04 $;6,00 $;19,00 $;1,04 $;0;
35;MNQ 12-25;PAAPEX4193400000001;;Long;1;25439,75;25442,75;01/12/2025 18:20:01;01/12/2025 18:30:50;;;4,96 $;-296,54 $;1,04 $;6,00 $;19,00 $;14,04 $;0;
36;MNQ 12-25;PAAPEX4193400000001;;Long;1;25404,75;25390,25;01/12/2025 20:25:43;01/12/2025 20:30:22;;;-30,04 $;-326,58 $;1,04 $;29,00 $;29,00 $;59,04 $;0;
37;MNQ 12-25;PAAPEX4193400000001;;Long;1;25399,50;25377,25;01/12/2025 20:26:03;01/12/2025 20:32:00;;;-45,54 $;-372,12 $;1,04 $;44,50 $;44,50 $;90,04 $;0;
38;MNQ 12-25;PAAPEX4193400000001;;Long;1;25397,75;25377,25;01/12/2025 20:29:12;01/12/2025 20:32:00;;;-42,04 $;-414,16 $;1,04 $;41,00 $;41,00 $;83,04 $;0;
39;MNQ 12-25;PAAPEX4193400000001;;Long;1;25396,25;25377,25;01/12/2025 20:29:31;01/12/2025 20:32:00;;;-39,04 $;-453,20 $;1,04 $;38,00 $;38,00 $;77,04 $;0;
40;MNQ 12-25;PAAPEX4193400000001;;Long;1;25414,50;25417,50;01/12/2025 21:39:05;01/12/2025 21:44:40;;;4,96 $;-448,24 $;1,04 $;6,00 $;6,00 $;1,04 $;0;
41;MNQ 12-25;PAAPEX4193400000001;;Long;1;25405,50;25408,00;01/12/2025 21:40:59;01/12/2025 21:48:50;;;3,96 $;-444,28 $;1,04 $;5,00 $;5,00 $;1,04 $;0;
42;MNQ 12-25;PAAPEX4193400000001;;Long;1;25401,25;25415,50;01/12/2025 21:46:44;01/12/2025 21:50:10;;;27,46 $;-416,82 $;1,04 $;28,50 $;28,50 $;1,04 $;0;
43;MNQ 12-25;PAAPEX4193400000001;;Short;1;25355,25;25357,25;02/12/2025 8:54:09;02/12/2025 8:55:19;;;-5,04 $;-421,86 $;1,04 $;4,00 $;4,00 $;9,04 $;0;
44;MNQ 12-25;PAAPEX4193400000001;;Short;1;25356,50;25351,25;02/12/2025 8:55:21;02/12/2025 9:13:59;;;9,46 $;-412,40 $;1,04 $;10,50 $;10,50 $;1,04 $;0;
45;MNQ 12-25;PAAPEX4193400000001;;Short;2;25352,75;25353,25;02/12/2025 9:14:57;02/12/2025 9:25:46;;;-4,08 $;-416,48 $;2,08 $;2,00 $;2,00 $;6,08 $;0;
46;MNQ 12-25;PAAPEX4193400000001;;Short;2;25355,50;25371,00;02/12/2025 9:15:35;02/12/2025 9:34:13;;;-64,08 $;-480,56 $;2,08 $;62,00 $;62,00 $;126,08 $;0;
47;MNQ 12-25;PAAPEX4193400000001;;Short;2;25362,00;25376,75;02/12/2025 9:24:46;02/12/2025 9:40:03;;;-61,08 $;-541,64 $;2,08 $;59,00 $;59,00 $;120,08 $;0;
48;MNQ 12-25;PAAPEX4193400000001;;Short;2;25363,00;25376,75;02/12/2025 9:24:52;02/12/2025 9:40:03;;;-57,08 $;-598,72 $;2,08 $;55,00 $;55,00 $;112,08 $;0;
49;MNQ 12-25;PAAPEX4193400000001;;Short;3;25379,75;25401,75;02/12/2025 9:44:15;02/12/2025 9:46:15;;;-135,12 $;-733,84 $;3,12 $;132,00 $;132,00 $;267,12 $;0;
50;MNQ 12-25;PAAPEX4193400000001;;Short;1;25411,00;25418,25;02/12/2025 9:48:00;02/12/2025 9:48:27;;;-15,54 $;-749,38 $;1,04 $;14,50 $;14,50 $;30,04 $;0;
51;MNQ 12-25;PAAPEX4193400000001;;Short;1;25412,25;25427,75;02/12/2025 9:49:35;02/12/2025 10:00:40;;;-32,04 $;-781,42 $;1,04 $;31,00 $;31,00 $;63,04 $;0;
52;MNQ 12-25;PAAPEX4193400000001;;Short;1;25409,50;25427,75;02/12/2025 9:49:53;02/12/2025 10:00:40;;;-37,54 $;-818,96 $;1,04 $;36,50 $;36,50 $;74,04 $;0;
53;MNQ 12-25;PAAPEX4193400000001;;Short;1;25491,75;25487,50;02/12/2025 12:11:12;02/12/2025 12:28:22;;;7,46 $;-811,50 $;1,04 $;8,50 $;8,50 $;1,04 $;0;
54;MNQ 12-25;PAAPEX4193400000001;;Short;1;25493,50;25505,25;02/12/2025 12:18:49;02/12/2025 12:29:31;;;-24,54 $;-836,04 $;1,04 $;23,50 $;23,50 $;48,04 $;0;
55;MNQ 12-25;PAAPEX4193400000001;;Short;1;25493,50;25505,25;02/12/2025 12:18:49;02/12/2025 12:29:31;;;-24,54 $;-860,58 $;1,04 $;23,50 $;23,50 $;48,04 $;0;
56;MNQ 12-25;PAAPEX4193400000001;;Short;1;25494,00;25466,50;02/12/2025 12:40:34;02/12/2025 13:11:23;;;53,96 $;-806,62 $;1,04 $;55,00 $;55,00 $;1,04 $;0;
57;MNQ 12-25;Sim101;MonarcaBandCubierta;Short;1;25481,00;25506,00;02/12/2025 15:30:43;02/12/2025 15:32:25;Entry;Stop1;-51,22 $;-857,84 $;1,22 $;50,50 $;19,50 $;70,72 $;0;
58;MNQ 12-25;PAAPEX4193400000001;;Short;1;25618,00;25638,00;02/12/2025 16:22:06;02/12/2025 16:24:23;;;-41,04 $;-898,88 $;1,04 $;40,00 $;40,00 $;81,04 $;0;
59;MNQ 12-25;PAAPEX4193400000001;;Short;1;25622,00;25643,75;02/12/2025 16:22:53;02/12/2025 16:25:06;;;-44,54 $;-943,42 $;1,04 $;43,50 $;43,50 $;88,04 $;0;
60;MNQ 12-25;PAAPEX4193400000001;;Short;1;25634,25;25643,75;02/12/2025 16:23:41;02/12/2025 16:25:06;;;-20,04 $;-963,46 $;1,04 $;19,00 $;19,00 $;39,04 $;0;
61;MNQ 12-25;PAAPEX4193400000001;;Short;1;25637,25;25643,75;02/12/2025 16:24:20;02/12/2025 16:25:06;;;-14,04 $;-977,50 $;1,04 $;13,00 $;13,00 $;27,04 $;0;
62;MNQ 12-25;PAAPEX4193400000001;;Short;1;25626,25;25559,75;02/12/2025 16:26:48;02/12/2025 16:30:17;;;131,96 $;-845,54 $;1,04 $;133,00 $;133,00 $;1,04 $;0;
63;MNQ 12-25;PAAPEX4193400000001;;Short;1;25613,00;25571,75;02/12/2025 16:27:56;02/12/2025 16:31:37;;;81,46 $;-764,08 $;1,04 $;82,50 $;82,50 $;1,04 $;0;
64;MNQ 12-25;PAAPEX4193400000001;;Short;1;25552,00;25578,75;02/12/2025 16:33:26;02/12/2025 16:40:21;;;-54,54 $;-818,62 $;1,04 $;53,50 $;53,50 $;108,04 $;0;
65;MNQ 12-25;PAAPEX4193400000001;;Short;1;25568,50;25595,25;02/12/2025 16:37:52;02/12/2025 16:41:19;;;-54,54 $;-873,16 $;1,04 $;53,50 $;53,50 $;108,04 $;0;
66;MNQ 12-25;PAAPEX4193400000001;;Short;1;25575,50;25611,25;02/12/2025 16:40:18;02/12/2025 16:42:00;;;-72,54 $;-945,70 $;1,04 $;71,50 $;71,50 $;144,04 $;0;
67;MNQ 12-25;PAAPEX4193400000001;;Short;1;25585,50;25611,25;02/12/2025 16:40:44;02/12/2025 16:42:00;;;-52,54 $;-998,24 $;1,04 $;51,50 $;51,50 $;104,04 $;0;
68;MNQ 12-25;PAAPEX4193400000001;;Short;1;25610,75;25621,25;02/12/2025 16:42:33;02/12/2025 16:43:10;;;-22,04 $;-1020,28 $;1,04 $;21,00 $;21,00 $;43,04 $;0;
69;MNQ 12-25;PAAPEX4193400000001;;Long;1;25572,50;25598,25;02/12/2025 18:18:25;02/12/2025 18:19:52;;;50,46 $;-969,82 $;1,04 $;51,50 $;51,50 $;1,04 $;0;
70;MNQ 12-25;PAAPEX4193400000001;;Short;1;25548,75;25564,50;02/12/2025 19:10:56;02/12/2025 19:19:54;;;-32,54 $;-1002,36 $;1,04 $;31,50 $;31,50 $;64,04 $;0;
71;MNQ 12-25;PAAPEX4193400000001;;Short;1;25554,75;25563,25;02/12/2025 19:27:12;02/12/2025 19:28:57;;;-18,04 $;-1020,40 $;1,04 $;17,00 $;17,00 $;35,04 $;0;
72;MNQ 12-25;PAAPEX4193400000001;;Long;1;25618,25;25622,00;03/12/2025 0:18:27;03/12/2025 0:23:04;;;6,46 $;-1013,94 $;1,04 $;7,50 $;7,50 $;1,04 $;0;
73;MNQ 12-25;PAAPEX4193400000001;;Short;2;25652,00;25627,00;03/12/2025 9:12:36;03/12/2025 9:24:00;;;97,92 $;-916,02 $;2,08 $;100,00 $;100,00 $;2,08 $;0;
74;MNQ 12-25;PAAPEX4193400000001;;Short;1;25658,25;25632,00;03/12/2025 10:00:20;03/12/2025 10:08:23;;;51,46 $;-864,56 $;1,04 $;52,50 $;52,50 $;1,04 $;0;
75;MNQ 12-25;PAAPEX4193400000001;;Short;1;25627,00;25619,50;03/12/2025 10:09:02;03/12/2025 10:25:59;;;13,96 $;-850,60 $;1,04 $;15,00 $;15,00 $;1,04 $;0;
76;MNQ 12-25;PAAPEX4193400000001;;Short;1;25630,25;25620,00;03/12/2025 10:11:34;03/12/2025 10:32:04;;;19,46 $;-831,14 $;1,04 $;20,50 $;20,50 $;1,04 $;0;
77;MNQ 12-25;PAAPEX4193400000001;;Short;1;25627,00;25637,75;03/12/2025 10:37:43;03/12/2025 11:04:45;;;-22,54 $;-853,68 $;1,04 $;21,50 $;21,50 $;44,04 $;0;
78;MNQ 12-25;PAAPEX4193400000001;;Short;1;25634,75;25643,00;03/12/2025 10:39:17;03/12/2025 11:05:57;;;-17,54 $;-871,22 $;1,04 $;16,50 $;16,50 $;34,04 $;0;
79;MNQ 12-25;PAAPEX4193400000001;;Short;1;25637,25;25643,00;03/12/2025 10:56:56;03/12/2025 11:05:57;;;-12,54 $;-883,76 $;1,04 $;11,50 $;11,50 $;24,04 $;0;
80;MNQ 12-25;PAAPEX4193400000001;;Short;1;25639,00;25643,00;03/12/2025 10:59:20;03/12/2025 11:05:57;;;-9,04 $;-892,80 $;1,04 $;8,00 $;8,00 $;17,04 $;0;
81;MNQ 12-25;PAAPEX4193400000001;;Short;1;25639,50;25643,00;03/12/2025 11:01:08;03/12/2025 11:05:57;;;-8,04 $;-900,84 $;1,04 $;7,00 $;7,00 $;15,04 $;0;
82;MNQ 12-25;PAAPEX4193400000001;;Short;1;25614,25;25622,25;03/12/2025 12:07:57;03/12/2025 12:13:16;;;-17,04 $;-917,88 $;1,04 $;16,00 $;16,00 $;33,04 $;0;
83;MNQ 12-25;Sim101;flash100% ;Short;2;25638,50;25651,25;03/12/2025 12:30:15;03/12/2025 13:24:26;Entry;Stop1;-53,44 $;-971,32 $;2,44 $;51,00 $;94,00 $;147,44 $;0;
84;MNQ 12-25;Sim101;MonarcaBandCubierta;Long;1;25466,50;25517,50;03/12/2025 15:30:29;03/12/2025 15:31:45;Entry;Stop1;100,78 $;-870,54 $;1,22 $;18,00 $;122,00 $;21,22 $;0;
85;MNQ 12-25;PAAPEX4193400000001;;Short;5;25621,00;25639,50;04/12/2025 4:33:21;04/12/2025 5:44:08;;;-190,20 $;-1060,74 $;5,20 $;185,00 $;185,00 $;375,20 $;0;
86;MNQ 12-25;PAAPEX4193400000001;;Short;1;25633,00;25622,00;04/12/2025 9:12:54;04/12/2025 9:23:53;;;20,96 $;-1039,78 $;1,04 $;22,00 $;22,00 $;1,04 $;0;
87;MNQ 12-25;PAAPEX4193400000001;;Short;1;25637,75;25619,75;04/12/2025 9:18:58;04/12/2025 9:29:06;;;34,96 $;-1004,82 $;1,04 $;36,00 $;36,00 $;1,04 $;0;
88;MNQ 12-25;PAAPEX4193400000001;;Short;1;25633,00;25647,00;04/12/2025 9:46:10;04/12/2025 9:53:02;;;-29,04 $;-1033,86 $;1,04 $;28,00 $;28,00 $;57,04 $;0;
89;MNQ 12-25;PAAPEX4193400000001;;Short;1;25638,50;25617,00;04/12/2025 9:48:04;04/12/2025 10:16:51;;;41,96 $;-991,90 $;1,04 $;43,00 $;43,00 $;1,04 $;0;
90;MNQ 12-25;PAAPEX4193400000001;;Short;1;25642,50;25639,00;04/12/2025 9:52:37;04/12/2025 10:23:01;;;5,96 $;-985,94 $;1,04 $;7,00 $;7,00 $;1,04 $;0;
91;MNQ 12-25;PAAPEX4193400000001;;Short;1;25648,75;25639,00;04/12/2025 10:03:58;04/12/2025 10:23:01;;;18,46 $;-967,48 $;1,04 $;19,50 $;19,50 $;1,04 $;0;
92;MNQ 12-25;PAAPEX4193400000001;;Short;1;25636,00;25652,75;04/12/2025 10:24:21;04/12/2025 10:30:30;;;-34,54 $;-1002,02 $;1,04 $;33,50 $;33,50 $;68,04 $;0;
93;MNQ 12-25;PAAPEX4193400000001;;Short;1;25641,00;25652,75;04/12/2025 10:24:40;04/12/2025 10:30:30;;;-24,54 $;-1026,56 $;1,04 $;23,50 $;23,50 $;48,04 $;0;
94;MNQ 12-25;PAAPEX4193400000001;;Long;1;25653,00;25643,75;04/12/2025 12:35:41;04/12/2025 12:39:32;;;-19,54 $;-1046,10 $;1,04 $;35,00 $;18,50 $;38,04 $;0;
95;MNQ 12-25;PAAPEX4193400000001;;Long;1;25653,00;25641,25;04/12/2025 12:35:41;04/12/2025 12:39:37;;;-24,54 $;-1070,64 $;1,04 $;35,00 $;18,50 $;43,04 $;0;
96;MNQ 12-25;PAAPEX4193400000001;;Long;2;25653,00;25635,50;04/12/2025 12:35:41;04/12/2025 12:40:07;;;-72,08 $;-1142,72 $;2,08 $;70,00 $;37,00 $;109,08 $;0;
97;MNQ 12-25;PAAPEX4193400000001;;Long;1;25645,00;25635,00;04/12/2025 12:39:28;04/12/2025 12:40:07;;;-21,04 $;-1163,76 $;1,04 $;20,00 $;20,00 $;41,04 $;0;
98;MNQ 12-25;PAAPEX4193400000001;;Long;1;25560,00;25530,25;04/12/2025 16:24:55;04/12/2025 16:25:31;;;-60,54 $;-1224,30 $;1,04 $;59,50 $;59,50 $;120,04 $;0;
99;MNQ 12-25;PAAPEX4193400000001;;Long;1;25540,25;25530,25;04/12/2025 16:25:28;04/12/2025 16:25:31;;;-21,04 $;-1245,34 $;1,04 $;20,00 $;20,00 $;41,04 $;0;
100;MNQ 12-25;PAAPEX4193400000001;;Long;1;25576,75;25573,25;04/12/2025 16:56:25;04/12/2025 16:56:30;;;-8,04 $;-1253,38 $;1,04 $;7,00 $;7,00 $;15,04 $;0;
101;MNQ 12-25;PAAPEX4193400000001;;Long;1;25576,50;25561,00;04/12/2025 16:59:10;04/12/2025 17:00:52;;;-32,04 $;-1285,42 $;1,04 $;31,00 $;31,00 $;63,04 $;0;
102;MNQ 12-25;PAAPEX4193400000001;;Long;1;25613,75;25607,75;04/12/2025 18:22:39;04/12/2025 18:23:04;;;-13,04 $;-1298,46 $;1,04 $;12,00 $;12,00 $;25,04 $;0;
